#原文	読み	文字種	タグ	OrigIdx
器	キ	KANJI	S	68
用	ヨー	KANJI	S	69
さ	サ	HIRAGANA	S	70
を	ヲ+S	HIRAGANA	S	71
養	ヤシナ	KANJI	S	73
い	イ	HIRAGANA	S	74
、	、+S	SYMBOL	S	75
集	シュー	KANJI	S	76
中	チュー	KANJI	S	77
力	リョク	KANJI	S	78
を	ヲ+S	HIRAGANA	S	79
高	タカ	KANJI	S	81
め	メ	HIRAGANA	S	82
る	ル+S	HIRAGANA	S	83
効	コー	KANJI	S	85
果	カ	KANJI	S	86
が	ガ+S	HIRAGANA	S	87
あ	ア	HIRAGANA	S	89
り	リ	HIRAGANA	S	90
ま	マ	HIRAGANA	S	91
す	ス	HIRAGANA	S	92
。	。+S	SYMBOL	S	93
子	コ	KANJI	S	94
ど	ド	HIRAGANA	S	95
も	モ	HIRAGANA	S	96
の	ノ+S	HIRAGANA	S	97
遊	アソ	KANJI	S	99
び	ビ	HIRAGANA	S	100
と	ト+S	HIRAGANA	S	101
し	シ	HIRAGANA	S	103
て	テ	HIRAGANA	S	104
だ	ダ	HIRAGANA	S	105
け	ケ	HIRAGANA	S	106
で	デ+S	HIRAGANA	S	107
な	ナ	HIRAGANA	S	109
く	ク	HIRAGANA	S	110
、	、+S	SYMBOL	S	111
大	オト	KANJI	S	112
人	ナ	KANJI	S	113
の	ノ+S	HIRAGANA	S	114
趣	シュ	KANJI	S	116
味	ミ	KANJI	S	117
と	ト+S	HIRAGANA	S	118
し	シ	HIRAGANA	S	120
て	テ	HIRAGANA	S	121
も	モ+S	HIRAGANA	S	122
楽	タノ	KANJI	S	124
し	シ	HIRAGANA	S	125
め	メ	HIRAGANA	S	126
ま	マ	HIRAGANA	S	127
す	ス	HIRAGANA	S	128
。	。+S	SYMBOL	S	129
完	カン	KANJI	S	130
成	セイ+S	KANJI	S	131
し	シ	HIRAGANA	S	133
た	タ+S	HIRAGANA	S	134
作	サク	KANJI	S	136
品	ヒン	KANJI	S	137
は	ワ+S	HIRAGANA	S	138
飾	カザ	KANJI	S	140
っ	ッ	HIRAGANA	S	141
た	タ	HIRAGANA	S	142
り	リ	HIRAGANA	S	143
、	、+S	SYMBOL	S	144
贈	オク	KANJI	S	145
り	リ	HIRAGANA	S	146
物	モノ	KANJI	S	147
に	ニ+S	HIRAGANA	S	148
し	シ	HIRAGANA	S	150
た	タ	HIRAGANA	S	151
り	リ+S	HIRAGANA	S	152
す	ス	HIRAGANA	S	154
る	ル+S	HIRAGANA	S	155
こ	コ	HIRAGANA	S	157
と	ト	HIRAGANA	S	158
が	ガ+S	HIRAGANA	S	159
で	デ	HIRAGANA	S	161
き	キ	HIRAGANA	S	162
ま	マ	HIRAGANA	S	163
す	ス	HIRAGANA	S	164
。	。+S	SYMBOL	S	165
折	オ	KANJI	S	166
り	リ	HIRAGANA	S	167
方	カタ	KANJI	S	168
を	ヲ+S	HIRAGANA	S	169
覚	オボ	KANJI	S	171
え	エ	HIRAGANA	S	172
る	ル+S	HIRAGANA	S	173
こ	コ	HIRAGANA	S	175
と	ト	HIRAGANA	S	176
で	デ	HIRAGANA	S	177
、	、+S	SYMBOL	S	178
創	ソー	KANJI	S	179
造	ゾー	KANJI	S	180
力	リョク	KANJI	S	181
が	ガ+S	HIRAGANA	S	182
広	ヒロ	KANJI	S	184
が	ガ	HIRAGANA	S	185
り	リ	HIRAGANA	S	186
ま	マ	HIRAGANA	S	187
す	ス	HIRAGANA	S	188
。	。+S	SYMBOL	S	189

森	シン	KANJI	S	0
林	リン	KANJI	S	1
浴	ヨク	KANJI	S	2
は	ワ+S	HIRAGANA	S	3
森	モリ	KANJI	S	5
の	ノ+S	HIRAGANA	S	6
中	ナカ	KANJI	S	8
を	ヲ+S	HIRAGANA	S	9
散	サン	KANJI	S	11
策	サク+S	KANJI	S	12
す	ス	HIRAGANA	S	14
る	ル+S	HIRAGANA	S	15
こ	コ	HIRAGANA	S	17
と	ト	HIRAGANA	S	18
で	デ	HIRAGANA	S	19
、	、+S	SYMBOL	S	20
自	シ	KANJI	S	21
然	ゼン	KANJI	S	22
の	ノ+S	HIRAGANA	S	23
力	チカラ	KANJI	S	25
を	ヲ+S	HIRAGANA	S	26
借	カ	KANJI	S	28
り	リ	HIRAGANA	S	29
て	テ+S	HIRAGANA	S	30
リ	リ	KATAKANA	S	32
フ	フ	KATAKANA	S	33
レ	レ	KATAKANA	S	34
ッ	ッ	KATAKANA	S	35
シ	シュ	KATAKANA	B	36
ュ	---+S	KATAKANA	E	37
す	ス	HIRAGANA	S	39
る	ル+S	HIRAGANA	S	40
活	カツ	KANJI	S	42
動	ドー	KANJI	S	43
で	デ	HIRAGANA	S	44
す	ス	HIRAGANA	S	45
。	。+S	SYMBOL	S	46
木	キ	KANJI	S	47
々	ギ	OTHER	S	48
か	カ	HIRAGANA	S	49
ら	ラ+S	HIRAGANA	S	50
放	ホー	KANJI	S	52
出	シュツ+S	KANJI	S	53
さ	サ	HIRAGANA	S	55
れ	レ	HIRAGANA	S	56
る	ル+S	HIRAGANA	S	57
フ	フィ	KATAKANA	B	59
ィ	---	KATAKANA	E	60
ト	ト	KATAKANA	S	61
ン	ン	KATAKANA	S	62
チ	チ	KATAKANA	S	63
ッ	ッ	KATAKANA	S	64
ド	ド	KATAKANA	S	65
と	ト+S	HIRAGANA	S	66
い	イ	HIRAGANA	S	68
う	ウ+S	HIRAGANA	S	69
成	セイ	KANJI	S	71
分	ブン	KANJI	S	72
に	ニ	HIRAGANA	S	73
は	ワ	HIRAGANA	S	74
、	、+S	SYMBOL	S	75
リ	リ	KATAKANA	S	76
ラ	ラ	KATAKANA	S	77
ッ	ッ	KATAKANA	S	78
ク	ク	KATAKANA	S	79
ス	ス+S	KATAKANA	S	80
効	コー	KANJI	S	82
果	カ	KANJI	S	83
が	ガ+S	HIRAGANA	S	84
あ	ア	HIRAGANA	S	86
る	ル	HIRAGANA	S	87
と	ト+S	HIRAGANA	S	88
さ	サ	HIRAGANA	S	90
れ	レ	HIRAGANA	S	91
て	テ+S	HIRAGANA	S	92
い	イ	HIRAGANA	S	94
ま	マ	HIRAGANA	S	95
す	ス	HIRAGANA	S	96
。	。+S	SYMBOL	S	97
都	ト	KANJI	S	98
会	カイ	KANJI	S	99
の	ノ+S	HIRAGANA	S	100
喧	ケン	KANJI	S	102
騒	ソー	KANJI	S	103
か	カ	HIRAGANA	S	104
ら	ラ+S	HIRAGANA	S	105
離	ハナ	KANJI	S	107
れ	レ	HIRAGANA	S	108
て	テ	HIRAGANA	S	109
、	、+S	SYMBOL	S	110
鳥	トリ	KANJI	S	111
の	ノ+S	HIRAGANA	S	112
さ	サ	HIRAGANA	S	114
え	エ	HIRAGANA	S	115
ず	ズ	HIRAGANA	S	116
り	リ	HIRAGANA	S	117
や	ヤ+S	HIRAGANA	S	118
風	カゼ	KANJI	S	120
の	ノ+S	HIRAGANA	S	121
音	オト	KANJI	S	123
を	ヲ+S	HIRAGANA	S	124
聞	キ	KANJI	S	126
き	キ	HIRAGANA	S	127
な	ナ	HIRAGANA	S	128
が	ガ	HIRAGANA	S	129
ら	ラ+S	HIRAGANA	S	130
歩	アル	KANJI	S	132
く	ク+S	HIRAGANA	S	133
こ	コ	HIRAGANA	S	135
と	ト	HIRAGANA	S	136
で	デ	HIRAGANA	S	137
、	、+S	SYMBOL	S	138
心	ココロ	KANJI	S	139
が	ガ+S	HIRAGANA	S	140
癒	イヤ	KANJI	S	142
さ	サ	HIRAGANA	S	143
れ	レ	HIRAGANA	S	144
ま	マ	HIRAGANA	S	145
す	ス	HIRAGANA	S	146
。	。+S	SYMBOL	S	147
深	シン	KANJI	S	148
呼	コ	KANJI	S	149
吸	キュー	KANJI	S	150
を	ヲ+S	HIRAGANA	S	151
し	シ	HIRAGANA	S	153
な	ナ	HIRAGANA	S	154
が	ガ	HIRAGANA	S	155
ら	ラ+S	HIRAGANA	S	156
ゆ	ユ	HIRAGANA	S	158
っ	ッ	HIRAGANA	S	159
く	ク	HIRAGANA	S	160
り	リ+S	HIRAGANA	S	161
歩	アル	KANJI	S	163
く	ク+S	HIRAGANA	S	164
こ	コ	HIRAGANA	S	166
と	ト	HIRAGANA	S	167
で	デ	HIRAGANA	S	168
、	、+S	SYMBOL	S	169
ス	ス	KATAKANA	S	170
ト	ト	KATAKANA	S	171
レ	レ	KATAKANA	S	172
ス	ス+S	KATAKANA	S	173
解	カイ	KANJI	S	175
消	ショー	KANJI	S	176
に	ニ+S	HIRAGANA	S	177
な	ナ	HIRAGANA	S	179
り	リ	HIRAGANA	S	180
ま	マ	HIRAGANA	S	181
す	ス	HIRAGANA	S	182
。	。+S	SYMBOL	S	183

ボ	ボ	KATAKANA	S	0
ー	ー	KATAKANA	S	1
ド	ド+S	KATAKANA	S	2
ゲ	ゲ	KATAKANA	S	4
ー	ー	KATAKANA	S	5
ム	ム	KATAKANA	S	6
は	ワ+S	HIRAGANA	S	7
仲	ナカ	KANJI	S	9
間	マ	KANJI	S	10
や	ヤ+S	HIRAGANA	S	11
家	カ	KANJI	S	13
族	ゾク	KANJI	S	14
と	ト+S	HIRAGANA	S	15
一	イッ	KANJI	S	17
緒	ショ	KANJI	S	18
に	ニ+S	HIRAGANA	S	19
楽	タノ	KANJI	S	21
し	シ	HIRAGANA	S	22
め	メ	HIRAGANA	S	23
る	ル+S	HIRAGANA	S	24
娯	ゴ	KANJI	S	26
楽	ラク	KANJI	S	27
で	デ+S	HIRAGANA	S	28
あ	ア	HIRAGANA	S	30
り	リ	HIRAGANA	S	31
、	、+S	SYMBOL	S	32
戦	セン	KANJI	S	33
略	リャク	KANJI	S	34
性	セイ	KANJI	S	35
や	ヤ+S	HIRAGANA	S	36
運	ウン	KANJI	S	38
を	ヲ+S	HIRAGANA	S	39
競	キソ	KANJI	S	41
い	イ	HIRAGANA	S	42
ま	マ	HIRAGANA	S	43
す	ス	HIRAGANA	S	44
。	。+S	SYMBOL	S	45
将	ショー	KANJI	S	46
棋	ギ	KANJI	S	47
、	、+S	SYMBOL	S	48
チ	チェ	KATAKANA	B	49
ェ	---	KATAKANA	E	50
ス	ス	KATAKANA	S	51
、	、+S	SYMBOL	S	52
人	ジン	KANJI	S	53
生	セイ+S	KANJI	S	54
ゲ	ゲ	KATAKANA	S	56
ー	ー	KATAKANA	S	57
ム	ム	KATAKANA	S	58
な	ナ	HIRAGANA	S	59
ど	ド	HIRAGANA	S	60
、	、+S	SYMBOL	S	61
種	シュ	KANJI	S	62
類	ルイ	KANJI	S	63
は	ワ+S	HIRAGANA	S	64
豊	ホー	KANJI	S	66
富	フ	KANJI	S	67
で	デ	HIRAGANA	S	68
す	ス	HIRAGANA	S	69
。	。+S	SYMBOL	S	70
デ	デ	KATAKANA	S	71
ジ	ジ	KATAKANA	S	72
タ	タ	KATAKANA	S	73
ル	ル+S	KATAKANA	S	74
ゲ	ゲ	KATAKANA	S	76
ー	ー	KATAKANA	S	77
ム	ム	KATAKANA	S	78
と	ト	HIRAGANA	S	79
は	ワ+S	HIRAGANA	S	80
異	コト	KANJI	S	82
な	ナ	HIRAGANA	S	83
り	リ	HIRAGANA	S	84
、	、+S	SYMBOL	S	85
対	タイ	KANJI	S	86
面	メン	KANJI	S	87
で	デ+S	HIRAGANA	S	88
コ	コ	KATAKANA	S	90
ミ	ミュ	KATAKANA	B	91
ュ	---	KATAKANA	E	92
ニ	ニ	KATAKANA	S	93
ケ	ケ	KATAKANA	S	94
ー	ー	KATAKANA	S	95
シ	ショ	KATAKANA	B	96
ョ	---	KATAKANA	E	97
ン	ン	KATAKANA	S	98
を	ヲ+S	HIRAGANA	S	99
取	ト	KANJI	S	101
り	リ	HIRAGANA	S	102
な	ナ	HIRAGANA	S	103
が	ガ	HIRAGANA	S	104
ら	ラ+S	HIRAGANA	S	105
遊	アソ	KANJI	S	107
べ	ベ	HIRAGANA	S	108
る	ル	HIRAGANA	S	109
の	ノ	HIRAGANA	S	110
が	ガ+S	HIRAGANA	S	111
魅	ミ	KANJI	S	113
力	リョク	KANJI	S	114
で	デ	HIRAGANA	S	115
す	ス	HIRAGANA	S	116
。	。+S	SYMBOL	S	117
考	カンガ	KANJI	S	118
え	エ	HIRAGANA	S	119
る	ル+S	HIRAGANA	S	120
力	チカラ	KANJI	S	122
や	ヤ+S	HIRAGANA	S	123
協	キョー	KANJI	S	125
調	チョー	KANJI	S	126
性	セイ	KANJI	S	127
を	ヲ+S	HIRAGANA	S	128
養	ヤシナ	KANJI	S	130
う	ウ+S	HIRAGANA	S	131
こ	コ	HIRAGANA	S	133
と	ト	HIRAGANA	S	134
が	ガ+S	HIRAGANA	S	135
で	デ	HIRAGANA	S	137
き	キ	HIRAGANA	S	138
ま	マ	HIRAGANA	S	139
す	ス	HIRAGANA	S	140
。	。+S	SYMBOL	S	141
休	キュー	KANJI	S	142
日	ジツ	KANJI	S	143
に	ニ+S	HIRAGANA	S	144
集	アツ	KANJI	S	146
ま	マ	HIRAGANA	S	147
っ	ッ	HIRAGANA	S	148
て	テ	HIRAGANA	S	149
、	、+S	SYMBOL	S	150
ゆ	ユ	HIRAGANA	S	151
っ	ッ	HIRAGANA	S	152
く	ク	HIRAGANA	S	153
り	リ	HIRAGANA	S	154
と	ト+S	HIRAGANA	S	155
ボ	ボ	KATAKANA	S	157
ー	ー	KATAKANA	S	158
ド	ド+S	KATAKANA	S	159
ゲ	ゲ	KATAKANA	S	161
ー	ー	KATAKANA	S	162
ム	ム	KATAKANA	S	163
を	ヲ+S	HIRAGANA	S	164
楽	タノ	KANJI	S	166
し	シ	HIRAGANA	S	167
む	ム	HIRAGANA	S	168
の	ノ	HIRAGANA	S	169
は	ワ+S	HIRAGANA	S	170
良	ヨ	KANJI	S	172
い	イ+S	HIRAGANA	S	173
思	オモ	KANJI	S	175
い	イ	HIRAGANA	S	176
出	デ	KANJI	S	177
に	ニ+S	HIRAGANA	S	178
な	ナ	HIRAGANA	S	180
り	リ	HIRAGANA	S	181
ま	マ	HIRAGANA	S	182
す	ス	HIRAGANA	S	183
。	。+S	SYMBOL	S	184

語	ゴ	KANJI	S	0
学	ガク+S	KANJI	S	1
学	ガク	KANJI	S	3
習	シュー	KANJI	S	4
は	ワ+S	HIRAGANA	S	5
新	アタラ	KANJI	S	7
し	シ	HIRAGANA	S	8
い	イ+S	HIRAGANA	S	9
言	ゲン	KANJI	S	11
語	ゴ	KANJI	S	12
を	ヲ+S	HIRAGANA	S	13
習	シュー	KANJI	S	15
得	トク+S	KANJI	S	16
す	ス	HIRAGANA	S	18
る	ル+S	HIRAGANA	S	19
こ	コ	HIRAGANA	S	21
と	ト	HIRAGANA	S	22
で	デ	HIRAGANA	S	23
、	、+S	SYMBOL	S	24
視	シ	KANJI	S	25
野	ヤ	KANJI	S	26
を	ヲ+S	HIRAGANA	S	27
広	ヒロ	KANJI	S	29
げ	ゲ	HIRAGANA	S	30
る	ル+S	HIRAGANA	S	31
こ	コ	HIRAGANA	S	33
と	ト	HIRAGANA	S	34
が	ガ+S	HIRAGANA	S	35
で	デ	HIRAGANA	S	37
き	キ	HIRAGANA	S	38
る	ル+S	HIRAGANA	S	39
挑	チョー	KANJI	S	41
戦	セン	KANJI	S	42
で	デ	HIRAGANA	S	43
す	ス	HIRAGANA	S	44
。	。+S	SYMBOL	S	45
英	エイ	KANJI	S	46
語	ゴ	KANJI	S	47
、	、+S	SYMBOL	S	48
中	チュー	KANJI	S	49
国	ゴク	KANJI	S	50
語	ゴ	KANJI	S	51
、	、+S	SYMBOL	S	52
ス	ス	KATAKANA	S	53
ペ	ペ	KATAKANA	S	54
イ	イ	KATAKANA	S	55
ン	ン	KATAKANA	S	56
語	ゴ	KANJI	S	57
な	ナ	HIRAGANA	S	58
ど	ド	HIRAGANA	S	59
、	、+S	SYMBOL	S	60
学	マナ	KANJI	S	61
び	ビ	HIRAGANA	S	62
た	タ	HIRAGANA	S	63
い	イ+S	HIRAGANA	S	64
言	ゲン	KANJI	S	66
語	ゴ	KANJI	S	67
は	ワ+S	HIRAGANA	S	68
様	サマ	KANJI	S	70
々	ザマ	OTHER	S	71
で	デ	HIRAGANA	S	72
す	ス	HIRAGANA	S	73
。	。+S	SYMBOL	S	74
外	ガイ	KANJI	S	75
国	コク	KANJI	S	76
の	ノ+S	HIRAGANA	S	77
文	ブン	KANJI	S	79
化	カ	KANJI	S	80
や	ヤ+S	HIRAGANA	S	81
考	カンガ	KANJI	S	83
え	エ	HIRAGANA	S	84
方	カタ	KANJI	S	85
を	ヲ+S	HIRAGANA	S	86
理	リ	KANJI	S	88
解	カイ+S	KANJI	S	89
す	ス	HIRAGANA	S	91
る	ル+S	HIRAGANA	S	92
手	テ	KANJI	S	94
助	ダス	KANJI	S	95
け	ケ	HIRAGANA	S	96
に	ニ	HIRAGANA	S	97
も	モ+S	HIRAGANA	S	98
な	ナ	HIRAGANA	S	100
り	リ	HIRAGANA	S	101
ま	マ	HIRAGANA	S	102
す	ス	HIRAGANA	S	103
。	。+S	SYMBOL	S	104
最	サイ	KANJI	S	105
近	キン	KANJI	S	106
で	デ	HIRAGANA	S	107
は	ワ+S	HIRAGANA	S	108
ア	ア	KATAKANA	S	110
プ	プ	KATAKANA	S	111
リ	リ	KATAKANA	S	112
や	ヤ+S	HIRAGANA	S	113
オ	オ	KATAKANA	S	115
ン	ン	KATAKANA	S	116
ラ	ラ	KATAKANA	S	117
イ	イ	KATAKANA	S	118
ン	ン+S	KATAKANA	S	119
レ	レ	KATAKANA	S	121
ッ	ッ	KATAKANA	S	122
ス	ス	KATAKANA	S	123
ン	ン	KATAKANA	S	124
が	ガ+S	HIRAGANA	S	125
充	ジュー	KANJI	S	127
実	ジツ+S	KANJI	S	128
し	シ	HIRAGANA	S	130
て	テ+S	HIRAGANA	S	131
お	オ	HIRAGANA	S	133
り	リ	HIRAGANA	S	134
、	、+S	SYMBOL	S	135
自	ジ	KANJI	S	136
宅	タク	KANJI	S	137
で	デ+S	HIRAGANA	S	138
手	テ	KANJI	S	140
軽	ガル	KANJI	S	141
に	ニ+S	HIRAGANA	S	142
学	マナ	KANJI	S	144
べ	ベ	HIRAGANA	S	145
ま	マ	HIRAGANA	S	146
す	ス	HIRAGANA	S	147
。	。+S	SYMBOL	S	148
継	ケイ	KANJI	S	149
続	ゾク+S	KANJI	S	150
す	ス	HIRAGANA	S	152
る	ル+S	HIRAGANA	S	153
こ	コ	HIRAGANA	S	155
と	ト	HIRAGANA	S	156
が	ガ+S	HIRAGANA	S	157
上	ジョー	KANJI	S	159
達	タツ	KANJI	S	160
の	ノ+S	HIRAGANA	S	161
鍵	カギ	KANJI	S	163
で	デ	HIRAGANA	S	164
す	ス	HIRAGANA	S	165
。	。+S	SYMBOL	S	166
少	スコ	KANJI	S	167
し	シ	HIRAGANA	S	168
ず	ズ	HIRAGANA	S	169
つ	ツ	HIRAGANA	S	170
で	デ	HIRAGANA	S	171
も	モ+S	HIRAGANA	S	172
毎	マイ	KANJI	S	174
日	ニチ+S	KANJI	S	175
続	ツヅ	KANJI	S	177
け	ケ	HIRAGANA	S	178
ま	マ	HIRAGANA	S	179
し	ショ	HIRAGANA	B	180
ょ	---	HIRAGANA	E	181
う	ー	HIRAGANA	S	182
。	。+S	SYMBOL	S	183

ス	ス	KATAKANA	S	0
ト	ト	KATAKANA	S	1
レ	レ	KATAKANA	S	2
ッ	ッ	KATAKANA	S	3
チ	チ	KATAKANA	S	4
は	ワ+S	HIRAGANA	S	5
筋	キン	KANJI	S	7
肉	ニク	KANJI	S	8
を	ヲ+S	HIRAGANA	S	9
伸	ノ	KANJI	S	11
ば	バ	HIRAGANA	S	12
し	シ	HIRAGANA	S	13
て	テ+S	HIRAGANA	S	14
柔	ジュー	KANJI	S	16
軟	ナン	KANJI	S	17
性	セイ	KANJI	S	18
を	ヲ+S	HIRAGANA	S	19
高	タカ	KANJI	S	21
め	メ	HIRAGANA	S	22
る	ル+S	HIRAGANA	S	23
運	ウン	KANJI	S	25
動	ドー	KANJI	S	26
で	デ	HIRAGANA	S	27
す	ス	HIRAGANA	S	28
。	。+S	SYMBOL	S	29
運	ウン	KANJI	S	30
動	ドー+S	KANJI	S	31
前	ゼン	KANJI	S	33
後	ゴ	KANJI	S	34
に	ニ+S	HIRAGANA	S	35
行	オコナ	KANJI	S	37
う	ウ+S	HIRAGANA	S	38
こ	コ	HIRAGANA	S	40
と	ト	HIRAGANA	S	41
で	デ	HIRAGANA	S	42
、	、+S	SYMBOL	S	43
怪	ケ	KANJI	S	44
我	ガ	KANJI	S	45
の	ノ+S	HIRAGANA	S	46
予	ヨ	KANJI	S	48
防	ボー	KANJI	S	49
や	ヤ+S	HIRAGANA	S	50
疲	ヒ	KANJI	S	52
労	ロー+S	KANJI	S	53
回	カイ	KANJI	S	55
復	フク	KANJI	S	56
に	ニ+S	HIRAGANA	S	57
効	コー	KANJI	S	59
果	カ	KANJI	S	60
が	ガ+S	HIRAGANA	S	61
あ	ア	HIRAGANA	S	63
り	リ	HIRAGANA	S	64
ま	マ	HIRAGANA	S	65
す	ス	HIRAGANA	S	66
。	。+S	SYMBOL	S	67
デ	デ	KATAKANA	S	68
ス	ス	KATAKANA	S	69
ク	ク+S	KATAKANA	S	70
ワ	ワ	KATAKANA	S	72
ー	ー	KATAKANA	S	73
ク	ク	KATAKANA	S	74
で	デ+S	HIRAGANA	S	75
凝	コ	KANJI	S	77
り	リ	HIRAGANA	S	78
固	カタ	KANJI	S	79
ま	マ	HIRAGANA	S	80
っ	ッ	HIRAGANA	S	81
た	タ+S	HIRAGANA	S	82
体	カラダ	KANJI	S	84
を	ヲ+S	HIRAGANA	S	85
ほ	ホ	HIRAGANA	S	87
ぐ	グ	HIRAGANA	S	88
す	ス+S	HIRAGANA	S	89
た	タ	HIRAGANA	S	91
め	メ	HIRAGANA	S	92
に	ニ	HIRAGANA	S	93
も	モ+S	HIRAGANA	S	94
有	ユー	KANJI	S	96
効	コー	KANJI	S	97
で	デ	HIRAGANA	S	98
す	ス	HIRAGANA	S	99
。	。+S	SYMBOL	S	100
毎	マイ	KANJI	S	101
日	ニチ+S	KANJI	S	102
少	スコ	KANJI	S	104
し	シ	HIRAGANA	S	105
の	ノ+S	HIRAGANA	S	106
時	ジ	KANJI	S	108
間	カン	KANJI	S	109
で	デ	HIRAGANA	S	110
も	モ+S	HIRAGANA	S	111
続	ツヅ	KANJI	S	113
け	ケ	HIRAGANA	S	114
る	ル+S	HIRAGANA	S	115
こ	コ	HIRAGANA	S	117
と	ト	HIRAGANA	S	118
で	デ	HIRAGANA	S	119
、	、+S	SYMBOL	S	120
体	カラダ	KANJI	S	121
が	ガ+S	HIRAGANA	S	122
柔	ヤワ	KANJI	S	124
ら	ラ	HIRAGANA	S	125
か	カ	HIRAGANA	S	126
く	ク+S	HIRAGANA	S	127
な	ナ	HIRAGANA	S	129
り	リ	HIRAGANA	S	130
、	、+S	SYMBOL	S	131
血	ケッ	KANJI	S	132
行	コー	KANJI	S	133
が	ガ+S	HIRAGANA	S	134
良	ヨ	KANJI	S	136
く	ク+S	HIRAGANA	S	137
な	ナ	HIRAGANA	S	139
り	リ	HIRAGANA	S	140
ま	マ	HIRAGANA	S	141
す	ス	HIRAGANA	S	142
。	。+S	SYMBOL	S	143
深	シン	KANJI	S	144
呼	コ	KANJI	S	145
吸	キュー	KANJI	S	146
を	ヲ+S	HIRAGANA	S	147
し	シ	HIRAGANA	S	149
な	ナ	HIRAGANA	S	150
が	ガ	HIRAGANA	S	151
ら	ラ+S	HIRAGANA	S	152
ゆ	ユ	HIRAGANA	S	154
っ	ッ	HIRAGANA	S	155
く	ク	HIRAGANA	S	156
り	リ	HIRAGANA	S	157
と	ト+S	HIRAGANA	S	158
伸	ノ	KANJI	S	160
ば	バ	HIRAGANA	S	161
す	ス+S	HIRAGANA	S	162
こ	コ	HIRAGANA	S	164
と	ト	HIRAGANA	S	165
が	ガ+S	HIRAGANA	S	166
ポ	ポ	KATAKANA	S	168
イ	イ	KATAKANA	S	169
ン	ン	KATAKANA	S	170
ト	ト	KATAKANA	S	171
で	デ	HIRAGANA	S	172
す	ス	HIRAGANA	S	173
。	。+S	SYMBOL	S	174
無	ム	KANJI	S	175
理	リ	KANJI	S	176
の	ノ+S	HIRAGANA	S	177
な	ナ	HIRAGANA	S	179
い	イ+S	HIRAGANA	S	180
範	ハン	KANJI	S	182
囲	イ	KANJI	S	183
で	デ+S	HIRAGANA	S	184
行	オコナ	KANJI	S	186
い	イ	HIRAGANA	S	187
ま	マ	HIRAGANA	S	188
し	ショ	HIRAGANA	B	189
ょ	---	HIRAGANA	E	190
う	ー	HIRAGANA	S	191
。	。+S	SYMBOL	S	192

ク	ク	KATAKANA	S	0
ラ	ラ	KATAKANA	S	1
シ	シ	KATAKANA	S	2
ッ	ッ	KATAKANA	S	3
ク	ク+S	KATAKANA	S	4
音	オン	KANJI	S	6
楽	ガク	KANJI	S	7
は	ワ+S	HIRAGANA	S	8
バ	バ	KATAKANA	S	10
ッ	ッ	KATAKANA	S	11
ハ	ハ	KATAKANA	S	12
、	、+S	SYMBOL	S	13
モ	モ	KATAKANA	S	14
ー	ー	KATAKANA	S	15
ツ	ツァ	KATAKANA	B	16
ァ	---	KATAKANA	E	17
ル	ル	KATAKANA	S	18
ト	ト	KATAKANA	S	19
、	、+S	SYMBOL	S	20
ベ	ベ	KATAKANA	S	21
ー	ー	KATAKANA	S	22
ト	ト	KATAKANA	S	23
ー	ー	KATAKANA	S	24
ヴ	ヴェ	KATAKANA	B	25
ェ	---	KATAKANA	E	26
ン	ン	KATAKANA	S	27
な	ナ	HIRAGANA	S	28
ど	ド	HIRAGANA	S	29
、	、+S	SYMBOL	S	30
歴	レキ	KANJI	S	31
史	シ	KANJI	S	32
的	テキ	KANJI	S	33
な	ナ+S	HIRAGANA	S	34
作	サッ	KANJI	S	36
曲	キョク	KANJI	S	37
家	カ	KANJI	S	38
に	ニ+S	HIRAGANA	S	39
よ	ヨ	HIRAGANA	S	41
っ	ッ	HIRAGANA	S	42
て	テ+S	HIRAGANA	S	43
生	ウ	KANJI	S	45
み	ミ	HIRAGANA	S	46
出	ダ	KANJI	S	47
さ	サ	HIRAGANA	S	48
れ	レ	HIRAGANA	S	49
た	タ+S	HIRAGANA	S	50
芸	ゲイ	KANJI	S	52
術	ジュツ+S	KANJI	S	53
作	サク	KANJI	S	55
品	ヒン	KANJI	S	56
で	デ	HIRAGANA	S	57
す	ス	HIRAGANA	S	58
。	。+S	SYMBOL	S	59
オ	オ	KATAKANA	S	60
ー	ー	KATAKANA	S	61
ケ	ケ	KATAKANA	S	62
ス	ス	KATAKANA	S	63
ト	ト	KATAKANA	S	64
ラ	ラ	KATAKANA	S	65
の	ノ+S	HIRAGANA	S	66
演	エン	KANJI	S	68
奏	ソー	KANJI	S	69
や	ヤ+S	HIRAGANA	S	70
ピ	ピ	KATAKANA	S	72
ア	ア	KATAKANA	S	73
ノ	ノ	KATAKANA	S	74
ソ	ソ	KATAKANA	S	76
ロ	ロ	KATAKANA	S	77
な	ナ	HIRAGANA	S	78
ど	ド	HIRAGANA	S	79
、	、+S	SYMBOL	S	80
様	サマ	KANJI	S	81
々	ザマ	OTHER	S	82
な	ナ+S	HIRAGANA	S	83
形	ケイ	KANJI	S	85
式	シキ	KANJI	S	86
が	ガ+S	HIRAGANA	S	87
あ	ア	HIRAGANA	S	89
り	リ	HIRAGANA	S	90
ま	マ	HIRAGANA	S	91
す	ス	HIRAGANA	S	92
。	。+S	SYMBOL	S	93
コ	コ	KATAKANA	S	94
ン	ン	KATAKANA	S	95
サ	サ	KATAKANA	S	96
ー	ー	KATAKANA	S	97
ト	ト+S	KATAKANA	S	98
