#原文	読み	文字種	OrigIdx
よ	ヨ	CharType.HIRAGANA	61
う	ー	CharType.HIRAGANA	62
に	ニ+S	CharType.HIRAGANA	63
見	ミ	CharType.KANJI	64
え	エ	CharType.HIRAGANA	65
る	ル+S	CharType.HIRAGANA	66
こ	コ	CharType.HIRAGANA	67
と	ト	CharType.HIRAGANA	68
が	ガ+S	CharType.HIRAGANA	69
和	ワ	CharType.KANJI	70
名	メイ	CharType.KANJI	71
の	ノ+S	CharType.HIRAGANA	72
由	ユ	CharType.KANJI	73
来	ライ	CharType.KANJI	74
と	ト+S	CharType.HIRAGANA	75
な	ナ	CharType.HIRAGANA	76
っ	ッ	CharType.HIRAGANA	77
て	テ+S	CharType.HIRAGANA	78
い	イ	CharType.HIRAGANA	79
る	ル+S	CharType.HIRAGANA	80
植	ショク	CharType.KANJI	81
物	ブツ	CharType.KANJI	82
で	デ+S	CharType.HIRAGANA	83
あ	ア	CharType.HIRAGANA	84
る	ル	CharType.HIRAGANA	85
。	_	CharType.SYMBOL_STOP	86

シ	シ	CharType.KATAKANA	0
ダ	ダ+S	CharType.KATAKANA	1
植	ショク	CharType.KANJI	2
物	ブツ	CharType.KANJI	3
は	ワ+S	CharType.HIRAGANA	4
種	シュ	CharType.KANJI	5
子	シ	CharType.KANJI	6
を	ヲ+S	CharType.HIRAGANA	7
持	モ	CharType.KANJI	8
た	タ	CharType.HIRAGANA	9
ず	ズ+S	CharType.HIRAGANA	10
胞	ホー	CharType.KANJI	11
子	シ	CharType.KANJI	12
で	デ+S	CharType.HIRAGANA	13
繁	ハン	CharType.KANJI	14
殖	ショク+S	CharType.KANJI	15
す	ス	CharType.HIRAGANA	16
る	ル+S	CharType.HIRAGANA	17
維	イ	CharType.KANJI	18
管	カン	CharType.KANJI	19
束	ソク+S	CharType.KANJI	20
植	ショク	CharType.KANJI	21
物	ブツ	CharType.KANJI	22
で	デ+S	CharType.HIRAGANA	23
あ	ア	CharType.HIRAGANA	24
り	リ	CharType.HIRAGANA	25
、	_	CharType.SYMBOL_PAUSE	26
葉	ハ	CharType.KANJI	27
の	ノ+S	CharType.HIRAGANA	28
裏	ウラ	CharType.KANJI	29
側	ガワ	CharType.KANJI	30
に	ニ+S	CharType.HIRAGANA	31
並	ナラ	CharType.KANJI	32
ぶ	ブ+S	CharType.HIRAGANA	33
胞	ホー	CharType.KANJI	34
子	シ	CharType.KANJI	35
嚢	ノー	CharType.KANJI	36
群	グン	CharType.KANJI	37
か	カ	CharType.HIRAGANA	38
ら	ラ+S	CharType.HIRAGANA	39
放	ホー	CharType.KANJI	40
出	シュツ+S	CharType.KANJI	41
さ	サ	CharType.HIRAGANA	42
れ	レ	CharType.HIRAGANA	43
た	タ+S	CharType.HIRAGANA	44
胞	ホー	CharType.KANJI	45
子	シ	CharType.KANJI	46
が	ガ+S	CharType.HIRAGANA	47
発	ハツ	CharType.KANJI	48
芽	ガ+S	CharType.KANJI	49
し	シ	CharType.HIRAGANA	50
て	テ+S	CharType.HIRAGANA	51
前	ゼン	CharType.KANJI	52
葉	ヨー	CharType.KANJI	53
体	タイ	CharType.KANJI	54
と	ト+S	CharType.HIRAGANA	55
な	ナ	CharType.HIRAGANA	56
り	リ	CharType.HIRAGANA	57
、	_	CharType.SYMBOL_PAUSE	58
そ	ソ	CharType.HIRAGANA	59
こ	コ	CharType.HIRAGANA	60
で	デ+S	CharType.HIRAGANA	61
受	ジュ	CharType.KANJI	62
精	セイ	CharType.KANJI	63
が	ガ+S	CharType.HIRAGANA	64
行	オコナ	CharType.KANJI	65
わ	ワ	CharType.HIRAGANA	66
れ	レ	CharType.HIRAGANA	67
る	ル	CharType.HIRAGANA	68
と	ト+S	CharType.HIRAGANA	69
い	イ	CharType.HIRAGANA	70
う	ウ+S	CharType.HIRAGANA	71
二	2	CharType.JAPANESE_NUMERIC	72
段	ダン	CharType.KANJI	73
階	カイ	CharType.KANJI	74
の	ノ+S	CharType.HIRAGANA	75
世	セ	CharType.KANJI	76
代	ダイ+S	CharType.KANJI	77
交	コー	CharType.KANJI	78
代	タイ	CharType.KANJI	79
を	ヲ+S	CharType.HIRAGANA	80
繰	ク	CharType.KANJI	81
り	リ	CharType.HIRAGANA	82
返	カエ	CharType.KANJI	83
し	シ	CharType.HIRAGANA	84
て	テ+S	CharType.HIRAGANA	85
い	イ	CharType.HIRAGANA	86
る	ル	CharType.HIRAGANA	87
。	_	CharType.SYMBOL_STOP	88

ハ	ハ	CharType.KATAKANA	0
ー	ー	CharType.KATAKANA	1
ブ	ブ	CharType.KATAKANA	2
の	ノ+S	CharType.HIRAGANA	3
ミ	ミ	CharType.KATAKANA	4
ン	ン	CharType.KATAKANA	5
ト	ト	CharType.KATAKANA	6
は	ワ+S	CharType.HIRAGANA	7
ペ	ペ	CharType.KATAKANA	8
パ	パ	CharType.KATAKANA	9
ー	ー	CharType.KATAKANA	10
ミ	ミ	CharType.KATAKANA	11
ン	ン	CharType.KATAKANA	12
ト	ト	CharType.KATAKANA	13
と	ト+S	CharType.HIRAGANA	14
ス	ス	CharType.KATAKANA	15
ペ	ペ	CharType.KATAKANA	16
ア	ア	CharType.KATAKANA	17
ミ	ミ	CharType.KATAKANA	18
ン	ン	CharType.KATAKANA	19
ト	ト	CharType.KATAKANA	20
の	ノ+S	CharType.HIRAGANA	21
雑	ザッ	CharType.KANJI	22
種	シュ	CharType.KANJI	23
に	ニ+S	CharType.HIRAGANA	24
起	キ	CharType.KANJI	25
源	ゲン	CharType.KANJI	26
を	ヲ+S	CharType.HIRAGANA	27
持	モ	CharType.KANJI	28
つ	ツ	CharType.HIRAGANA	29
と	ト+S	CharType.HIRAGANA	30
さ	サ	CharType.HIRAGANA	31
れ	レ	CharType.HIRAGANA	32
て	テ+S	CharType.HIRAGANA	33
お	オ	CharType.HIRAGANA	34
り	リ	CharType.HIRAGANA	35
、	_	CharType.SYMBOL_PAUSE	36
地	チ	CharType.KANJI	37
下	カ	CharType.KANJI	38
茎	ケイ	CharType.KANJI	39
で	デ+S	CharType.HIRAGANA	40
旺	オー	CharType.KANJI	41
盛	セイ	CharType.KANJI	42
に	ニ+S	CharType.HIRAGANA	43
増	ゾー	CharType.KANJI	44
殖	ショク+S	CharType.KANJI	45
す	ス	CharType.HIRAGANA	46
る	ル+S	CharType.HIRAGANA	47
強	キョー	CharType.KANJI	48
健	ケン	CharType.KANJI	49
な	ナ+S	CharType.HIRAGANA	50
植	ショク	CharType.KANJI	51
物	ブツ	CharType.KANJI	52
で	デ	CharType.HIRAGANA	53
、	_	CharType.SYMBOL_PAUSE	54
含	フク	CharType.KANJI	55
ま	マ	CharType.HIRAGANA	56
れ	レ	CharType.HIRAGANA	57
る	ル+S	CharType.HIRAGANA	58
メ	メ	CharType.KATAKANA	59
ン	ン	CharType.KATAKANA	60
ト	ト	CharType.KATAKANA	61
ー	ー	CharType.KATAKANA	62
ル	ル+S	CharType.KATAKANA	63
成	セイ	CharType.KANJI	64
分	ブン	CharType.KANJI	65
は	ワ+S	CharType.HIRAGANA	66
清	セイ	CharType.KANJI	67
涼	リョー	CharType.KANJI	68
感	カン	CharType.KANJI	69
の	ノ+S	CharType.HIRAGANA	70
素	モト	CharType.KANJI	71
で	デ	CharType.HIRAGANA	72
も	モ+S	CharType.HIRAGANA	73
あ	ア	CharType.HIRAGANA	74
り	リ+S	CharType.HIRAGANA	75
虫	ムシ	CharType.KANJI	76
よ	ヨ	CharType.HIRAGANA	77
け	ケ+S	CharType.HIRAGANA	78
効	コー	CharType.KANJI	79
果	カ	CharType.KANJI	80
も	モ+S	CharType.HIRAGANA	81
持	モ	CharType.KANJI	82
つ	ツ	CharType.HIRAGANA	83
と	ト+S	CharType.HIRAGANA	84
さ	サ	CharType.HIRAGANA	85
れ	レ	CharType.HIRAGANA	86
て	テ+S	CharType.HIRAGANA	87
い	イ	CharType.HIRAGANA	88
る	ル	CharType.HIRAGANA	89
。	_	CharType.SYMBOL_STOP	90

落	ラク	CharType.KANJI	0
葉	ヨー	CharType.KANJI	1
樹	ジュ	CharType.KANJI	2
は	ワ+S	CharType.HIRAGANA	3
秋	アキ	CharType.KANJI	4
に	ニ+S	CharType.HIRAGANA	5
な	ナ	CharType.HIRAGANA	6
る	ル	CharType.HIRAGANA	7
と	ト+S	CharType.HIRAGANA	8
葉	ハ	CharType.KANJI	9
に	ニ+S	CharType.HIRAGANA	10
含	フク	CharType.KANJI	11
ま	マ	CharType.HIRAGANA	12
れ	レ	CharType.HIRAGANA	13
る	ル+S	CharType.HIRAGANA	14
ク	ク	CharType.KATAKANA	15
ロ	ロ	CharType.KATAKANA	16
ロ	ロ	CharType.KATAKANA	17
フ	フィ	CharType.KATAKANA	18
ィ	---	CharType.KATAKANA	19
ル	ル	CharType.KATAKANA	20
が	ガ+S	CharType.HIRAGANA	21
分	ブン	CharType.KANJI	22
解	カイ+S	CharType.KANJI	23
さ	サ	CharType.HIRAGANA	24
れ	レ	CharType.HIRAGANA	25
て	テ+S	CharType.HIRAGANA	26
ア	ア	CharType.KATAKANA	27
ン	ン	CharType.KATAKANA	28
ト	ト	CharType.KATAKANA	29
シ	シ	CharType.KATAKANA	30
ア	ア	CharType.KATAKANA	31
ニ	ニ	CharType.KATAKANA	32
ン	ン	CharType.KATAKANA	33
や	ヤ+S	CharType.HIRAGANA	34
カ	カ	CharType.KATAKANA	35
ロ	ロ	CharType.KATAKANA	36
テ	テ	CharType.KATAKANA	37
ノ	ノ	CharType.KATAKANA	38
イ	イ	CharType.KATAKANA	39
ド	ド	CharType.KATAKANA	40
が	ガ+S	CharType.HIRAGANA	41
残	ノコ	CharType.KANJI	42
る	ル+S	CharType.HIRAGANA	43
こ	コ	CharType.HIRAGANA	44
と	ト	CharType.HIRAGANA	45
で	デ+S	CharType.HIRAGANA	46
紅	コー	CharType.KANJI	47
葉	ヨー	CharType.KANJI	48
・	_	CharType.SYMBOL_PAUSE	49
黄	コー	CharType.KANJI	50
葉	ヨー	CharType.KANJI	51
が	ガ+S	CharType.HIRAGANA	52
生	ショー	CharType.KANJI	53
じ	ジ	CharType.HIRAGANA	54
、	_	CharType.SYMBOL_PAUSE	55
そ	ソ	CharType.HIRAGANA	56
の	ノ	CharType.HIRAGANA	57
後	ゴ+S	CharType.KANJI	58
葉	ヨー	CharType.KANJI	59
柄	ヘイ	CharType.KANJI	60
の	ノ+S	CharType.HIRAGANA	61
付	ツ	CharType.KANJI	62
け	ケ	CharType.HIRAGANA	63
根	ネ	CharType.KANJI	64
に	ニ+S	CharType.HIRAGANA	65
離	リ	CharType.KANJI	66
層	ソー	CharType.KANJI	67
を	ヲ+S	CharType.HIRAGANA	68
形	ケイ	CharType.KANJI	69
成	セイ+S	CharType.KANJI	70
し	シ	CharType.HIRAGANA	71
て	テ+S	CharType.HIRAGANA	72
落	ラク	CharType.KANJI	73
葉	ヨー+S	CharType.KANJI	74
さ	サ	CharType.HIRAGANA	75
せ	セ	CharType.HIRAGANA	76
る	ル+S	CharType.HIRAGANA	77
こ	コ	CharType.HIRAGANA	78
と	ト	CharType.HIRAGANA	79
で	デ+S	CharType.HIRAGANA	80
冬	フユ	CharType.KANJI	81
の	ノ+S	CharType.HIRAGANA	82
乾	カン	CharType.KANJI	83
燥	ソー	CharType.KANJI	84
と	ト+S	CharType.HIRAGANA	85
寒	サム	CharType.KANJI	86
さ	サ	CharType.HIRAGANA	87
に	ニ+S	CharType.HIRAGANA	88
備	ソナ	CharType.KANJI	89
え	エ	CharType.HIRAGANA	90
る	ル	CharType.HIRAGANA	91
。	_	CharType.SYMBOL_STOP	92

バ	バ	CharType.KATAKANA	0
ナ	ナ	CharType.KATAKANA	1
ナ	ナ	CharType.KATAKANA	2
は	ワ+S	CharType.HIRAGANA	3
木	キ	CharType.KANJI	4
の	ノ	CharType.HIRAGANA	5
よ	ヨ	CharType.HIRAGANA	6
う	ー	CharType.HIRAGANA	7
に	ニ+S	CharType.HIRAGANA	8
見	ミ	CharType.KANJI	9
え	エ	CharType.HIRAGANA	10
る	ル	CharType.HIRAGANA	11
が	ガ+S	CharType.HIRAGANA	12
実	ジッ	CharType.KANJI	13
際	サイ	CharType.KANJI	14
に	ニ	CharType.HIRAGANA	15
は	ワ+S	CharType.HIRAGANA	16
木	モク	CharType.KANJI	17
本	ホン	CharType.KANJI	18
で	デ	CharType.HIRAGANA	19
は	ワ+S	CharType.HIRAGANA	20
な	ナ	CharType.HIRAGANA	21
く	ク	CharType.HIRAGANA	22
、	_	CharType.SYMBOL_PAUSE	23
葉	ヨー	CharType.KANJI	24
鞘	ショー	CharType.KANJI	25
が	ガ+S	CharType.HIRAGANA	26
積	ツ	CharType.KANJI	27
み	ミ	CharType.HIRAGANA	28
重	カサ	CharType.KANJI	29
な	ナ	CharType.HIRAGANA	30
っ	ッ	CharType.HIRAGANA	31
た	タ+S	CharType.HIRAGANA	32
偽	ギ	CharType.KANJI	33
茎	ケイ	CharType.KANJI	34
を	ヲ+S	CharType.HIRAGANA	35
持	モ	CharType.KANJI	36
つ	ツ+S	CharType.HIRAGANA	37
大	オオ	CharType.KANJI	38
型	ガタ	CharType.KANJI	39
の	ノ+S	CharType.HIRAGANA	40
多	タ	CharType.KANJI	41
年	ネン	CharType.KANJI	42
生	セイ+S	CharType.KANJI	43
草	ソー	CharType.KANJI	44
本	ホン+S	CharType.KANJI	45
植	ショク	CharType.KANJI	46
物	ブツ	CharType.KANJI	47
で	デ+S	CharType.HIRAGANA	48
あ	ア	CharType.HIRAGANA	49
り	リ	CharType.HIRAGANA	50
、	_	CharType.SYMBOL_PAUSE	51
現	ゲン	CharType.KANJI	52
在	ザイ+S	CharType.KANJI	53
商	ショー	CharType.KANJI	54
業	ギョー+S	CharType.KANJI	55
流	リュー	CharType.KANJI	56
通	ツー+S	CharType.KANJI	57
す	ス	CharType.HIRAGANA	58
る	ル+S	CharType.HIRAGANA	59
ほ	ホ	CharType.HIRAGANA	60
と	ト	CharType.HIRAGANA	61
ん	ン	CharType.HIRAGANA	62
ど	ド	CharType.HIRAGANA	63
の	ノ+S	CharType.HIRAGANA	64
品	ヒン	CharType.KANJI	65
種	シュ	CharType.KANJI	66
は	ワ+S	CharType.HIRAGANA	67
種	シュ	CharType.KANJI	68
子	シ	CharType.KANJI	69
を	ヲ+S	CharType.HIRAGANA	70
持	モ	CharType.KANJI	71
た	タ	CharType.HIRAGANA	72
な	ナ	CharType.HIRAGANA	73
い	イ+S	CharType.HIRAGANA	74
三	3	CharType.JAPANESE_NUMERIC	75
倍	バイ	CharType.KANJI	76
体	タイ	CharType.KANJI	77
の	ノ+S	CharType.HIRAGANA	78
不	フ	CharType.KANJI	79
稔	ネン+S	CharType.KANJI	80
品	ヒン	CharType.KANJI	81
種	シュ	CharType.KANJI	82
で	デ+S	CharType.HIRAGANA	83
あ	ア	CharType.HIRAGANA	84
る	ル	CharType.HIRAGANA	85
。	_	CharType.SYMBOL_STOP	86

ブ	ブ	CharType.KATAKANA	0
ナ	ナ	CharType.KATAKANA	1
は	ワ+S	CharType.HIRAGANA	2
温	オン	CharType.KANJI	3
帯	タイ+S	CharType.KANJI	4
落	ラク	CharType.KANJI	5
葉	ヨー+S	CharType.KANJI	6
広	コー	CharType.KANJI	7
葉	ヨー+S	CharType.KANJI	8
樹	ジュ	CharType.KANJI	9
林	リン	CharType.KANJI	10
の	ノ+S	CharType.HIRAGANA	11
代	ダイ	CharType.KANJI	12
表	ヒョー	CharType.KANJI	13
的	テキ	CharType.KANJI	14
な	ナ+S	CharType.HIRAGANA	15
優	ユー	CharType.KANJI	16
占	セン	CharType.KANJI	17
種	シュ	CharType.KANJI	18
で	デ+S	CharType.HIRAGANA	19
あ	ア	CharType.HIRAGANA	20
り	リ	CharType.HIRAGANA	21
、	_	CharType.SYMBOL_PAUSE	22
数	スー	CharType.KANJI	23
年	ネン	CharType.KANJI	24
に	ニ+S	CharType.HIRAGANA	25
一	1	CharType.JAPANESE_NUMERIC	26
度	ド+S	CharType.KANJI	27
大	タイ	CharType.KANJI	28
量	リョー	CharType.KANJI	29
に	ニ+S	CharType.HIRAGANA	30
堅	ケン	CharType.KANJI	31
果	カ	CharType.KANJI	32
を	ヲ+S	CharType.HIRAGANA	33
結	ケツ	CharType.KANJI	34
実	ジツ+S	CharType.KANJI	35
す	ス	CharType.HIRAGANA	36
る	ル+S	CharType.HIRAGANA	37
マ	マ	CharType.KATAKANA	38
ス	ス	CharType.KATAKANA	39
テ	ティ	CharType.KATAKANA	40
ィ	---	CharType.KATAKANA	41
ン	ン	CharType.KATAKANA	42
グ	グ	CharType.KATAKANA	43
（	_	CharType.SYMBOL_OPEN	44
豊	ホー	CharType.KANJI	45
凶	キョー	CharType.KANJI	46
年	ネン	CharType.KANJI	47
）	_+S	CharType.SYMBOL_CLOSE	48
現	ゲン	CharType.KANJI	49
象	ショー	CharType.KANJI	50
を	ヲ+S	CharType.HIRAGANA	51
起	オ	CharType.KANJI	52
こ	コ	CharType.HIRAGANA	53
す	ス+S	CharType.HIRAGANA	54
こ	コ	CharType.HIRAGANA	55
と	ト	CharType.HIRAGANA	56
で	デ+S	CharType.HIRAGANA	57
種	シュ	CharType.KANJI	58
子	シ	CharType.KANJI	59
食	ショク	CharType.KANJI	60
者	シャ	CharType.KANJI	61
の	ノ+S	CharType.HIRAGANA	62
個	コ	CharType.KANJI	63
体	タイ	CharType.KANJI	64
数	スー	CharType.KANJI	65
を	ヲ+S	CharType.HIRAGANA	66
上	ウワ	CharType.KANJI	67
回	マワ	CharType.KANJI	68
る	ル+S	CharType.HIRAGANA	69
豊	ホー	CharType.KANJI	70
作	サク+S	CharType.KANJI	71
年	ネン	CharType.KANJI	72
を	ヲ+S	CharType.HIRAGANA	73
作	ツク	CharType.KANJI	74
り	リ	CharType.HIRAGANA	75
出	ダ	CharType.KANJI	76
し	シ+S	CharType.HIRAGANA	77
種	シュ	CharType.KANJI	78
の	ノ+S	CharType.HIRAGANA	79
存	ソン	CharType.KANJI	80
続	ゾク	CharType.KANJI	81
を	ヲ+S	CharType.HIRAGANA	82
図	ハカ	CharType.KANJI	83
っ	ッ	CharType.HIRAGANA	84
て	テ+S	CharType.HIRAGANA	85
い	イ	CharType.HIRAGANA	86
る	ル	CharType.HIRAGANA	87
。	_	CharType.SYMBOL_STOP	88

熱	ネッ	CharType.KANJI	0
帯	タイ+S	CharType.KANJI	1
雨	ウ	CharType.KANJI	2
林	リン	CharType.KANJI	3
の	ノ+S	CharType.HIRAGANA	4
植	ショク	CharType.KANJI	5
物	ブツ	CharType.KANJI	6
は	ワ+S	CharType.HIRAGANA	7
光	ヒカリ	CharType.KANJI	8
を	ヲ+S	CharType.HIRAGANA	9
巡	メグ	CharType.KANJI	10
る	ル+S	CharType.HIRAGANA	11
激	ハゲ	CharType.KANJI	12
し	シ	CharType.HIRAGANA	13
い	イ+S	CharType.HIRAGANA	14
競	キョー	CharType.KANJI	15
争	ソー	CharType.KANJI	16
に	ニ+S	CharType.HIRAGANA	17
さ	サ	CharType.HIRAGANA	18
ら	ラ	CharType.HIRAGANA	19
さ	サ	CharType.HIRAGANA	20
れ	レ	CharType.HIRAGANA	21
て	テ+S	CharType.HIRAGANA	22
お	オ	CharType.HIRAGANA	23
り	リ	CharType.HIRAGANA	24
、	_	CharType.SYMBOL_PAUSE	25
低	テイ	CharType.KANJI	26
地	チ	CharType.KANJI	27
で	デ	CharType.HIRAGANA	28
は	ワ+S	CharType.HIRAGANA	29
林	リン	CharType.KANJI	30
冠	カン	CharType.KANJI	31
を	ヲ+S	CharType.HIRAGANA	32
突	ツ	CharType.KANJI	33
き	キ	CharType.HIRAGANA	34
抜	ヌ	CharType.KANJI	35
け	ケ	CharType.HIRAGANA	36
る	ル	CharType.HIRAGANA	37
よ	ヨ	CharType.HIRAGANA	38
う	ー+S	CharType.HIRAGANA	39
細	ホソ	CharType.KANJI	40
く	ク+S	CharType.HIRAGANA	41
高	タカ	CharType.KANJI	42
く	ク+S	CharType.HIRAGANA	43
成	セイ	CharType.KANJI	44
長	チョー+S	CharType.KANJI	45
し	シ	CharType.HIRAGANA	46
な	ナ	CharType.HIRAGANA	47
が	ガ	CharType.HIRAGANA	48
ら	ラ	CharType.HIRAGANA	49
、	_	CharType.SYMBOL_PAUSE	50
ヘ	ヘ	CharType.KATAKANA	51
ゴ	ゴ	CharType.KATAKANA	52
の	ノ	CharType.HIRAGANA	53
よ	ヨ	CharType.HIRAGANA	54
う	ー	CharType.HIRAGANA	55
な	ナ+S	CharType.HIRAGANA	56
シ	シ	CharType.KATAKANA	57
ダ	ダ	CharType.KATAKANA	58
類	ルイ	CharType.KANJI	59
は	ワ+S	CharType.HIRAGANA	60
木	キ	CharType.KANJI	61
の	ノ+S	CharType.HIRAGANA	62
幹	ミキ	CharType.KANJI	63
に	ニ+S	CharType.HIRAGANA	64
着	チャク	CharType.KANJI	65
生	セイ+S	CharType.KANJI	66
し	シ	CharType.HIRAGANA	67
て	テ+S	CharType.HIRAGANA	68
少	スク	CharType.KANJI	69
な	ナ	CharType.HIRAGANA	70
い	イ+S	CharType.HIRAGANA	71
光	ヒカリ	CharType.KANJI	72
を	ヲ+S	CharType.HIRAGANA	73
効	コー	CharType.KANJI	74
率	リツ+S	CharType.KANJI	75
よ	ヨ	CharType.HIRAGANA	76
く	ク+S	CharType.HIRAGANA	77
捉	トラ	CharType.KANJI	78
え	エ	CharType.HIRAGANA	79
る	ル+S	CharType.HIRAGANA	80
戦	セン	CharType.KANJI	81
略	リャク	CharType.KANJI	82
を	ヲ+S	CharType.HIRAGANA	83
選	エラ	CharType.KANJI	84
ん	ン	CharType.HIRAGANA	85
で	デ+S	CharType.HIRAGANA	86
い	イ	CharType.HIRAGANA	87
る	ル	CharType.HIRAGANA	88
。	_	CharType.SYMBOL_STOP	89

ア	ア	CharType.KATAKANA	0
オ	オ	CharType.KATAKANA	1
カ	カ	CharType.KATAKANA	2
ビ	ビ	CharType.KATAKANA	3
な	ナ	CharType.HIRAGANA	4
ど	ド	CharType.HIRAGANA	5
の	ノ+S	CharType.HIRAGANA	6
菌	キン	CharType.KANJI	7
類	ルイ	CharType.KANJI	8
は	ワ+S	CharType.HIRAGANA	9
ペ	ペ	CharType.KATAKANA	10
ニ	ニ	CharType.KATAKANA	11
シ	シ	CharType.KATAKANA	12
リ	リ	CharType.KATAKANA	13
ン	ン	CharType.KATAKANA	14
を	ヲ+S	CharType.HIRAGANA	15
産	サン	CharType.KANJI	16
生	セイ+S	CharType.KANJI	17
す	ス	CharType.HIRAGANA	18
る	ル+S	CharType.HIRAGANA	19
こ	コ	CharType.HIRAGANA	20
と	ト	CharType.HIRAGANA	21
で	デ+S	CharType.HIRAGANA	22
細	サイ	CharType.KANJI	23
菌	キン	CharType.KANJI	24
の	ノ+S	CharType.HIRAGANA	25
増	ゾー	CharType.KANJI	26
殖	ショク	CharType.KANJI	27
を	ヲ+S	CharType.HIRAGANA	28
抑	ヨク	CharType.KANJI	29
制	セイ+S	CharType.KANJI	30
す	ス	CharType.HIRAGANA	31
る	ル+S	CharType.HIRAGANA	32
能	ノー	CharType.KANJI	33
力	リョク	CharType.KANJI	34
を	ヲ+S	CharType.HIRAGANA	35
持	モ	CharType.KANJI	36
っ	ッ	CharType.HIRAGANA	37
て	テ+S	CharType.HIRAGANA	38
お	オ	CharType.HIRAGANA	39
り	リ	CharType.HIRAGANA	40
、	_	CharType.SYMBOL_PAUSE	41
フ	フ	CharType.KATAKANA	42
レ	レ	CharType.KATAKANA	43
ミ	ミ	CharType.KATAKANA	44
ン	ン	CharType.KATAKANA	45
グ	グ	CharType.KATAKANA	46
に	ニ+S	CharType.HIRAGANA	47
よ	ヨ	CharType.HIRAGANA	48
る	ル+S	CharType.HIRAGANA	49
ペ	ペ	CharType.KATAKANA	50
ニ	ニ	CharType.KATAKANA	51
シ	シ	CharType.KATAKANA	52
リ	リ	CharType.KATAKANA	53
ン	ン	CharType.KATAKANA	54
の	ノ+S	CharType.HIRAGANA	55
発	ハッ	CharType.KANJI	56
見	ケン	CharType.KANJI	57
は	ワ+S	CharType.HIRAGANA	58
こ	コ	CharType.HIRAGANA	59
の	ノ+S	CharType.HIRAGANA	60
菌	キン	CharType.KANJI	61
類	ルイ	CharType.KANJI	62
の	ノ+S	CharType.HIRAGANA	63
自	シ	CharType.KANJI	64
然	ゼン	CharType.KANJI	65
な	ナ+S	CharType.HIRAGANA	66
化	カ	CharType.KANJI	67
学	ガク	CharType.KANJI	68
的	テキ+S	CharType.KANJI	69
防	ボー	CharType.KANJI	70
衛	エイ+S	CharType.KANJI	71
機	キ	CharType.KANJI	72
構	コー	CharType.KANJI	73
を	ヲ+S	CharType.HIRAGANA	74
医	イ	CharType.KANJI	75
療	リョー	CharType.KANJI	76
に	ニ+S	CharType.HIRAGANA	77
応	オー	CharType.KANJI	78
用	ヨー+S	CharType.KANJI	79
し	シ	CharType.HIRAGANA	80
た	タ+S	CharType.HIRAGANA	81
歴	レキ	CharType.KANJI	82
史	シ	CharType.KANJI	83
的	テキ+S	CharType.KANJI	84
発	ハッ	CharType.KANJI	85
見	ケン	CharType.KANJI	86
で	デ+S	CharType.HIRAGANA	87
あ	ア	CharType.HIRAGANA	88
る	ル	CharType.HIRAGANA	89
。	_	CharType.SYMBOL_STOP	90

ウ	ウ	CharType.KATAKANA	0
キ	キ	CharType.KATAKANA	1
ク	ク	CharType.KATAKANA	2
サ	サ	CharType.KATAKANA	3
は	ワ+S	CharType.HIRAGANA	4
ア	ア	CharType.KATAKANA	5
オ	オ	CharType.KATAKANA	6
ウ	ウ	CharType.KATAKANA	7
キ	キ	CharType.KATAKANA	8
ク	ク	CharType.KATAKANA	9
サ	サ	CharType.KATAKANA	10
や	ヤ+S	CharType.HIRAGANA	11
ミ	ミ	CharType.KATAKANA	12
ジ	ジ	CharType.KATAKANA	13
ン	ン	CharType.KATAKANA	14
コ	コ+S	CharType.KATAKANA	15
ウ	ウ	CharType.KATAKANA	16
キ	キ	CharType.KATAKANA	17
ク	ク	CharType.KATAKANA	18
サ	サ	CharType.KATAKANA	19
な	ナ	CharType.HIRAGANA	20
ど	ド	CharType.HIRAGANA	21
を	ヲ+S	CharType.HIRAGANA	22
含	フク	CharType.KANJI	23
む	ム+S	CharType.HIRAGANA	24
世	セ	CharType.KANJI	25
界	カイ+S	CharType.KANJI	26
最	サイ	CharType.KANJI	27
小	ショー	CharType.KANJI	28
の	ノ+S	CharType.HIRAGANA	29
花	ハナ	CharType.KANJI	30
を	ヲ+S	CharType.HIRAGANA	31
持	モ	CharType.KANJI	32
つ	ツ+S	CharType.HIRAGANA	33
被	ヒ	CharType.KANJI	34
子	シ+S	CharType.KANJI	35
植	ショク	CharType.KANJI	36
物	ブツ	CharType.KANJI	37
の	ノ+S	CharType.HIRAGANA	38
グ	グ	CharType.KATAKANA	39
ル	ル	CharType.KATAKANA	40
ー	ー	CharType.KATAKANA	41
プ	プ	CharType.KATAKANA	42
で	デ+S	CharType.HIRAGANA	43
あ	ア	CharType.HIRAGANA	44
り	リ	CharType.HIRAGANA	45
、	_	CharType.SYMBOL_PAUSE	46
水	スイ	CharType.KANJI	47
面	メン	CharType.KANJI	48
に	ニ+S	CharType.HIRAGANA	49
浮	ウ	CharType.KANJI	50
か	カ	CharType.HIRAGANA	51
び	ビ	CharType.HIRAGANA	52
な	ナ	CharType.HIRAGANA	53
が	ガ	CharType.HIRAGANA	54
ら	ラ+S	CharType.HIRAGANA	55
細	サイ	CharType.KANJI	56
胞	ボー+S	CharType.KANJI	57
分	ブン	CharType.KANJI	58
裂	レツ	CharType.KANJI	59
で	デ+S	CharType.HIRAGANA	60
急	キュー	CharType.KANJI	61
速	ソク	CharType.KANJI	62
